공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
소프트웨어 개발자 모집 (신입/경력 정규직),(주)하늘소프트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43837564&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,채용시,"['경력무관', '대졸↑']","['앱개발', ' SI개발', ' 네트워크', ' 딥러닝', ' 머신러닝 ']"
(주)아이옵스 위성 부문별 신입/경력 채용공고 (용인),(주)아이옵스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44126437&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 10/16(일),"['신입', '대졸↑']","['S/W', ' 네트워크', ' Python', ' 항공우주', ' SI·시스템통합 등록일 22/10/04 ']"
질병치료 관련 개발 연구원,(주)넷타겟,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42716023&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전전체 ,~ 10/31(월),"['경력 3~20년', '석사↑']","['데이터분석가', ' 딥러닝', ' 머신러닝', ' 블록체인', ' 빅데이터 ']"
웹프론트엔드 SW개발자,(주)넷타겟,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42716076&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전전체 ,~ 10/31(월),"['경력 3~20년', '대졸↑']","['웹개발', ' 퍼블리셔', ' 프론트엔드', ' 반응형웹', ' 웹표준·웹접근성 ']"
2022 하반기 .NET (C#) 소프트웨어 개발자 채용,(주)두잇,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43882710&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 10/22(토),"['경력1년↑', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' .NET', ' C# ']"
질병치료 관련 개발 연구원(신입~3년),(주)넷타겟,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42716788&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전전체 ,~ 10/31(월),"['신입·경력', '석사↑']","['데이터분석가', ' 딥러닝', ' 머신러닝', ' 블록체인', ' 빅데이터 ']"
(주)웨이브웨어 2022 년도 (프로그래머) 신입.경력 모집,(주)웨이브웨어,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44096446&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 10/29(토),"['신입', '학력무관']","['Windows', ' C++', ' C언어', ' Java', ' Linux ']"
Smart Factory SW개발 채용(신입/경력) (내일채움공제),그래비티시스템,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44119519&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 아산시 ,채용시,"['경력무관', '초대졸↑']","['C#', ' C++', ' C언어', ' Java', ' MFC ']"
ERP·IOT /APP/WEB 개발,오아시스스토리(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43992996&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 중구 ,~ 10/16(일),"['경력무관', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' .NET', ' C# ']"
소프트웨어 개발 (신입/경력)모집,(주)케이벨,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44079092&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 11/26(토),"['신입·경력', '대졸↑']","['임베디드', ' H/W', ' S/W', ' 정보통신', ' 펌웨어 ']"
"웹, 응용프로그램 개발 정규직 채용",(주)아이티코리아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44145659&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 11/05(토),"['경력', '초대졸↑']","['웹개발', ' SI개발', ' 솔루션', ' S/W', ' 유지보수 ']"
[주식회사 꿀비]상반기 경력직 채용공고(임베디드 개발),(주)꿀비,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44086982&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 서구 ,~ 10/14(금),"['경력2년↑', '대졸↑']","['임베디드', ' 솔루션', ' 인터페이스', ' C++', ' R ']"
IT 개발연구원 모집,(주)큐이노텍,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44016068&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 천안시 서북구 ,~ 10/19(수),"['경력1년↑', '초대졸↑']","['데이터분석가', ' IT컨설팅', ' ICT컨설팅', ' C#', ' C++ ']"
2022년 생물정보학 전문가 채용 - 암조기진단 플랫폼 개발(대전),(주)아이엠비디엑스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44151186&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 서구 ,~ 11/05(토),"['경력무관', '석사↑']","['빅데이터', ' 생명과학', ' 의료기기연구', ' 임상개발', ' 모델링 ']"
와이즈컨 프로그램 개발자 신입 및 경력직 채용 공고,(주)와이즈컨,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44151292&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 10/31(월),"['경력무관', '대졸↑']","['임베디드', ' SI영업', ' 전기제어', ' 전자제어', ' 메카트로닉스 ']"
Technical Support Engineer 채용,주식회사 시스트란,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44124888&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 서구 ,~ 12/03(토),"['경력3년↑', '학력무관']","['Docker', ' Java', ' Javascript', ' MongoDB', ' Node.js ']"
"(주)아이옵스 머신러닝 엔지니어 연구원 채용모집 (신입, 경력)",(주)아이옵스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44126560&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 10/16(일),"['경력무관', '대졸↑']","['딥러닝', ' 머신러닝', ' S/W', ' 네트워크', ' Pytorch ']"
[전략기획실] 사업전략 담당자 채용,(주)트위니,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44134324&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 11/04(금),"['경력무관', '학력무관']","['경영기획', ' 사업기획', ' 컨설턴트', ' 경영컨설팅', ' 사업제휴 ']"
(주)앰진 IT 기술개발 신입·경력 채용공고,(주)앰진,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44045174&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,~ 10/22(토),"['신입·경력', '대졸↑']","['마케팅기획', ' 마케팅전략', ' 시장조사', ' 통계/분석', ' 사업기획 ']"
고속 고정밀 기계설계 산업용로봇 로봇시스템 DIE BONDER Rework,(주)코리아휴먼리소시스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44162710&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 아산시 ,~ 10/16(일),"['경력5년↑', '대졸↑']","['설계엔지니어', ' 공정설계', ' 제품설계', ' 구조해석/설계', ' 기계설계 ']"
[중견코스닥] 기술혁신팀 - 팀장급 모집,커리어서포트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44107983&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,서울 금천구 ,~ 10/30(일),"['경력12년↑', '대졸↑']","['기술사업화', ' 디스플레이', ' 반도체', ' 기술기획', ' MES ']"
[씨큐브코딩 대전 둔산센터] 코딩 강사 채용,주식회사 프로퍼에듀,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44187905&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 서구 ,~ 12/11(일),"['경력무관', '초대졸↑']","['학원강사', ' 코딩', ' IT학원 수정일 22/10/12 ']"
[코리아IT아카데미대전]  IT강사 채용 (신입 / 경력 무관),(주)코리아아이티아카데미대전,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43924951&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 서구 ,~ 11/05(토),"['경력무관', '학력무관']","['백엔드/서버개발', ' 보안컨설팅', ' 정보보안', ' 프론트엔드', ' 머신러닝 ']"
충남 천안 인공지능모델 개발자 채용,(주)삼성디지탈솔루션,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44147093&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 아산시 ,채용시,"['경력무관', '대졸']","['C언어', ' 딥러닝', ' 알고리즘', ' C#', ' C++ ']"
이엔유주식회사 소프트웨어 개발자 신입 인재 모집,이엔유주식회사,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44142407&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,채용시,"['신입', '초대졸']","['웹개발', ' 솔루션', ' IoT', ' 메타버스', ' C# ']"
"[휴먼교육센터] 직업훈련 소프트웨어개발(JAVA,SPRING) 강사채용",휴먼교육센터,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43959732&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 천안시 동남구 ,채용시,"['경력무관', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Java', ' Python ']"
